data,hora,mandante,visitante,Placar M,Placar V,RESULTADO
2003-03-29 00:00:00,16:00,Athletico-PR,Gremio,2,0,H
2003-03-29 00:00:00,16:00,Guarani,Vasco,4,2,H
2003-03-30 00:00:00,16:00,Criciuma,Fluminense,2,0,H
2003-03-30 00:00:00,16:00,Cruzeiro,Sao Caetano,2,2,D
2003-03-30 00:00:00,16:00,Flamengo,Coritiba,1,1,D
2003-03-30 00:00:00,16:00,Fortaleza,Bahia,0,0,D
2003-03-30 00:00:00,16:00,Goias,Paysandu,2,2,D
2003-03-30 00:00:00,16:00,Internacional,Ponte Preta,1,1,D
2003-03-30 00:00:00,16:00,Juventude,Sao Paulo,2,2,D
2003-03-30 00:00:00,16:00,Vitoria,Figueirense,1,1,D
2003-03-30 00:00:00,18:00,Corinthians,Atletico-MG,0,3,A
2003-03-30 00:00:00,18:00,Santos,Parana,2,2,D
2003-04-05 00:00:00,16:00,Atletico-MG,Santos,0,0,D
2003-04-05 00:00:00,16:00,Coritiba,Internacional,0,1,A
2003-04-05 00:00:00,16:00,Fluminense,Fortaleza,1,1,D
2003-04-05 00:00:00,18:00,Gremio,Guarani,3,1,H
2003-04-06 00:00:00,16:00,Bahia,Flamengo,1,2,A
2003-04-06 00:00:00,16:00,Figueirense,Corinthians,3,3,D
2003-04-06 00:00:00,16:00,Parana,Athletico-PR,3,0,H
2003-04-06 00:00:00,16:00,Paysandu,Vitoria,1,2,A
2003-04-06 00:00:00,16:00,Ponte Preta,Juventude,1,0,H
2003-04-06 00:00:00,16:00,Sao Caetano,Criciuma,3,2,H
2003-04-06 00:00:00,18:00,Sao Paulo,Cruzeiro,2,4,A
2003-04-06 00:00:00,18:00,Vasco,Goias,6,4,H
2003-04-09 00:00:00,21:40,Paysandu,Santos,2,1,H
2003-04-12 00:00:00,16:00,Athletico-PR,Atletico-MG,1,2,A
2003-04-12 00:00:00,16:00,Internacional,Bahia,2,0,H
2003-04-12 00:00:00,16:00,Santos,Figueirense,2,0,H
2003-04-12 00:00:00,18:00,Corinthians,Paysandu,6,1,H
2003-04-13 00:00:00,16:00,Criciuma,Sao Paulo,1,1,D
2003-04-13 00:00:00,16:00,Fortaleza,Sao Caetano,1,1,D
2003-04-13 00:00:00,16:00,Goias,Gremio,1,1,D
2003-04-13 00:00:00,16:00,Guarani,Parana,2,0,H
2003-04-13 00:00:00,16:00,Juventude,Coritiba,2,1,H
2003-04-13 00:00:00,16:00,Vitoria,Vasco,2,1,H
2003-04-13 00:00:00,18:00,Cruzeiro,Ponte Preta,3,0,H
2003-04-13 00:00:00,18:00,Flamengo,Fluminense,4,1,H
2003-04-16 00:00:00,20:30,Atletico-MG,Guarani,3,2,H
2003-04-16 00:00:00,20:30,Bahia,Juventude,3,1,H
2003-04-16 00:00:00,20:30,Figueirense,Athletico-PR,1,1,D
2003-04-16 00:00:00,20:30,Gremio,Vitoria,2,1,H
2003-04-16 00:00:00,20:30,Ponte Preta,Criciuma,1,1,D
2003-04-16 00:00:00,21:40,Coritiba,Cruzeiro,3,4,A
2003-04-16 00:00:00,21:40,Sao Caetano,Flamengo,1,1,D
2003-04-16 00:00:00,21:40,Vasco,Corinthians,2,2,D
2003-04-17 00:00:00,20:30,Fluminense,Internacional,3,1,H
2003-04-17 00:00:00,20:30,Parana,Goias,3,1,H
2003-04-17 00:00:00,20:30,Sao Paulo,Fortaleza,3,1,H
2003-04-18 00:00:00,20:30,Flamengo,Cruzeiro,3,0,H
2003-04-19 00:00:00,16:00,Bahia,Atletico-MG,2,4,A
2003-04-19 00:00:00,16:00,Sao Caetano,Gremio,1,1,D
2003-04-19 00:00:00,18:00,Flamengo,Santos,0,2,A
2003-04-20 00:00:00,16:00,Criciuma,Guarani,1,0,H
2003-04-20 00:00:00,16:00,Fortaleza,Athletico-PR,1,0,H
2003-04-20 00:00:00,16:00,Internacional,Corinthians,2,1,H
2003-04-20 00:00:00,16:00,Juventude,Vitoria,1,1,D
2003-04-20 00:00:00,16:00,Ponte Preta,Paysandu,4,4,D
2003-04-20 00:00:00,16:00,Sao Paulo,Vasco,3,1,H
2003-04-20 00:00:00,18:00,Cruzeiro,Goias,4,1,H
2003-04-20 00:00:00,18:00,Fluminense,Parana,0,0,D
2003-04-21 00:00:00,20:30,Coritiba,Figueirense,1,0,H
2003-04-26 00:00:00,16:00,Atletico-MG,Coritiba,1,2,A
2003-04-26 00:00:00,16:00,Parana,Bahia,3,1,H
2003-04-26 00:00:00,16:00,Vitoria,Internacional,0,3,A
